t_start,delta_t,n_at_risk,n_new_deaths,smear_status,cohort_id,mu,mu_sd,start_year,end_year
0,2,103,13,negative,5,0.01,0.002,1922,1925
2,2,90,9,negative,5,0.01,0.002,1922,1925
4,2,80,5,negative,5,0.01,0.002,1922,1925
6,2,75,3,negative,5,0.01,0.002,1922,1925
8,2,72,4,negative,5,0.01,0.002,1922,1925
0,2,110,3,negative,6,0.01,0.002,1926,1929
2,2,107,3,negative,6,0.01,0.002,1926,1929
4,2,103,8,negative,6,0.01,0.002,1926,1929
0,2,220,11,negative,7,0.01,0.002,1930,1933
2,2,209,13,negative,7,0.01,0.002,1930,1933
0,2,164,3,negative,8,0.01,0.002,1934,1935
0,1,8,0,negative,25,0.01,0.002,1912,1913
1,1,8,0,negative,25,0.01,0.002,1912,1913
2,1,8,0,negative,25,0.01,0.002,1912,1913
3,1,8,0,negative,25,0.01,0.002,1912,1913
4,1,8,0,negative,25,0.01,0.002,1912,1913
5,1,8,0,negative,25,0.01,0.002,1912,1913
6,1,8,0,negative,25,0.01,0.002,1912,1913
7,1,8,0,negative,25,0.01,0.002,1912,1913
8,1,8,0,negative,25,0.01,0.002,1912,1913
9,1,8,0,negative,25,0.01,0.002,1912,1913
10,1,8,0,negative,25,0.01,0.002,1912,1913
11,1,8,1,negative,25,0.01,0.002,1912,1913
12,1,7,0,negative,25,0.01,0.002,1912,1913
13,1,7,0,negative,25,0.01,0.002,1912,1913
14,1,7,0,negative,25,0.01,0.002,1912,1913
0,1,36,0,negative,26,0.01,0.002,1913,1914
1,1,36,2,negative,26,0.01,0.002,1913,1914
2,1,34,0,negative,26,0.01,0.002,1913,1914
3,1,34,1,negative,26,0.01,0.002,1913,1914
4,1,33,2,negative,26,0.01,0.002,1913,1914
5,1,31,0,negative,26,0.01,0.002,1913,1914
6,1,31,1,negative,26,0.01,0.002,1913,1914
7,1,30,2,negative,26,0.01,0.002,1913,1914
8,1,28,0,negative,26,0.01,0.002,1913,1914
9,1,28,0,negative,26,0.01,0.002,1913,1914
10,1,28,2,negative,26,0.01,0.002,1913,1914
11,1,26,0,negative,26,0.01,0.002,1913,1914
12,1,26,0,negative,26,0.01,0.002,1913,1914
13,1,26,0,negative,26,0.01,0.002,1913,1914
14,1,26,1,negative,26,0.01,0.002,1913,1914
0,1,39,1,negative,27,0.01,0.002,1914,1915
1,1,38,1,negative,27,0.01,0.002,1914,1915
2,1,37,3,negative,27,0.01,0.002,1914,1915
3,1,34,2,negative,27,0.01,0.002,1914,1915
4,1,32,1,negative,27,0.01,0.002,1914,1915
5,1,31,0,negative,27,0.01,0.002,1914,1915
6,1,31,1,negative,27,0.01,0.002,1914,1915
7,1,30,1,negative,27,0.01,0.002,1914,1915
8,1,29,1,negative,27,0.01,0.002,1914,1915
9,1,28,1,negative,27,0.01,0.002,1914,1915
10,1,27,1,negative,27,0.01,0.002,1914,1915
11,1,26,0,negative,27,0.01,0.002,1914,1915
12,1,26,1,negative,27,0.01,0.002,1914,1915
13,1,25,0,negative,27,0.01,0.002,1914,1915
14,1,25,1,negative,27,0.01,0.002,1914,1915
0,1,39,0,negative,28,0.01,0.002,1915,1916
1,1,39,3,negative,28,0.01,0.002,1915,1916
2,1,36,2,negative,28,0.01,0.002,1915,1916
3,1,34,2,negative,28,0.01,0.002,1915,1916
4,1,32,1,negative,28,0.01,0.002,1915,1916
5,1,31,5,negative,28,0.01,0.002,1915,1916
6,1,26,1,negative,28,0.01,0.002,1915,1916
7,1,25,0,negative,28,0.01,0.002,1915,1916
8,1,25,1,negative,28,0.01,0.002,1915,1916
9,1,24,0,negative,28,0.01,0.002,1915,1916
0,1,28,0,negative,29,0.01,0.002,1916,1917
1,1,28,0,negative,29,0.01,0.002,1916,1917
2,1,28,0,negative,29,0.01,0.002,1916,1917
3,1,28,1,negative,29,0.01,0.002,1916,1917
4,1,27,1,negative,29,0.01,0.002,1916,1917
5,1,26,0,negative,29,0.01,0.002,1916,1917
6,1,26,0,negative,29,0.01,0.002,1916,1917
7,1,26,0,negative,29,0.01,0.002,1916,1917
8,1,26,0,negative,29,0.01,0.002,1916,1917
9,1,26,0,negative,29,0.01,0.002,1916,1917
0,1,38,1,negative,30,0.01,0.002,1917,1918
1,1,37,2,negative,30,0.01,0.002,1917,1918
2,1,35,1,negative,30,0.01,0.002,1917,1918
3,1,34,1,negative,30,0.01,0.002,1917,1918
4,1,33,1,negative,30,0.01,0.002,1917,1918
5,1,32,0,negative,30,0.01,0.002,1917,1918
6,1,32,0,negative,30,0.01,0.002,1917,1918
7,1,32,0,negative,30,0.01,0.002,1917,1918
8,1,32,0,negative,30,0.01,0.002,1917,1918
9,1,32,0,negative,30,0.01,0.002,1917,1918
0,1,41,0,negative,31,0.01,0.002,1918,1919
1,1,41,4,negative,31,0.01,0.002,1918,1919
2,1,37,1,negative,31,0.01,0.002,1918,1919
3,1,36,1,negative,31,0.01,0.002,1918,1919
4,1,35,1,negative,31,0.01,0.002,1918,1919
5,1,34,0,negative,31,0.01,0.002,1918,1919
6,1,34,0,negative,31,0.01,0.002,1918,1919
7,1,34,1,negative,31,0.01,0.002,1918,1919
8,1,33,0,negative,31,0.01,0.002,1918,1919
9,1,33,1,negative,31,0.01,0.002,1918,1919
0,1,37,0,negative,32,0.01,0.002,1919,1920
1,1,37,2,negative,32,0.01,0.002,1919,1920
2,1,35,1,negative,32,0.01,0.002,1919,1920
3,1,34,1,negative,32,0.01,0.002,1919,1920
4,1,33,1,negative,32,0.01,0.002,1919,1920
5,1,32,0,negative,32,0.01,0.002,1919,1920
6,1,32,2,negative,32,0.01,0.002,1919,1920
7,1,30,0,negative,32,0.01,0.002,1919,1920
8,1,30,1,negative,32,0.01,0.002,1919,1920
9,1,29,0,negative,32,0.01,0.002,1919,1920
0,1,55,0,negative,33,0.01,0.002,1920,1921
1,1,55,0,negative,33,0.01,0.002,1920,1921
2,1,55,0,negative,33,0.01,0.002,1920,1921
3,1,55,0,negative,33,0.01,0.002,1920,1921
4,1,55,0,negative,33,0.01,0.002,1920,1921
0,1,36,0,negative,34,0.01,0.002,1921,1922
1,1,36,1,negative,34,0.01,0.002,1921,1922
2,1,35,0,negative,34,0.01,0.002,1921,1922
3,1,35,2,negative,34,0.01,0.002,1921,1922
4,1,33,0,negative,34,0.01,0.002,1921,1922
0,1,45,1,negative,35,0.01,0.002,1922,1923
1,1,44,1,negative,35,0.01,0.002,1922,1923
2,1,43,4,negative,35,0.01,0.002,1922,1923
3,1,39,0,negative,35,0.01,0.002,1922,1923
4,1,39,0,negative,35,0.01,0.002,1922,1923
0,1,33,1,negative,36,0.01,0.002,1923,1924
1,1,32,1,negative,36,0.01,0.002,1923,1924
2,1,31,0,negative,36,0.01,0.002,1923,1924
3,1,31,3,negative,36,0.01,0.002,1923,1924
4,1,28,0,negative,36,0.01,0.002,1923,1924
0,1,34,0,negative,37,0.01,0.002,1924,1925
1,1,34,1,negative,37,0.01,0.002,1924,1925
2,1,33,1,negative,37,0.01,0.002,1924,1925
3,1,32,1,negative,37,0.01,0.002,1924,1925
4,1,31,0,negative,37,0.01,0.002,1924,1925
0,4,133,13,negative,57,0.003865068,0.001,1916,1935
4,6,120,9,negative,57,0.003865068,0.001,1916,1935
10,10,111,5,negative,57,0.003865068,0.001,1916,1935
0,4,280,21,negative,58,0.003385274,0.001,1916,1935
4,6,259,20,negative,58,0.003385274,0.001,1916,1935
10,10,239,9,negative,58,0.003385274,0.001,1916,1935
